hackaviz, sponsor_name, sponsor_pic
2020, "Clever Age", cleverage
2020, "Squoring Technologies", squoring
2020, "Conseil Départemental de la Haute-Garonne", cd31
2020, "Destination Occitanie, Comité Régional du tourisme", destinationoccitanie
2020, "Perceptilble", perceptible
2020, "étincelle coworking", etincelle
2020, "Data Sens", datasens
2020, "Makina Corpus", makinacorpus
2019, "Clever Age", cleverage
2019, "Conseil Départemental de la Haute-Garonne", cd31
2019, "Squoring Technologies", squoring
2019, "Makina Corpus", makinacorpus
2019, "étincelle coworking", etincelle
2018, "Coworking Harrycow", harrycow
2018, "Clever Age", cleverage
2018, "étincelle coworking", etincelle
2018, "Conseil Départemental de la Haute-Garonne", cd31
